Id,SalePrice
1461,120703.2406
1462,159757.4211
1463,157910.0418
1464,180675.8573
1465,215912.5185
1466,181126.9397
1467,158896.0597
1468,170315.6495
1469,196221.5332
1470,96517.3057
1471,192771.2366
1472,150462.3901
1473,129721.3898
1474,166480.5057
1475,150853.9076
1476,319421.4102
1477,266726.9265
1478,309706.2507
1479,273220.3455
1480,381805.3171
1481,293164.0731
1482,228333.4757
1483,173408.9465
1484,180816.8706
1485,196930.0412
1486,209532.09
1487,306985.8451
1488,264904.4899
1489,195302.583
1490,176118.5121
1491,215721.807
1492,115176.6644
1493,189757.3665
1494,308702.0641
1495,286601.0809
1496,198269.841
1497,207900.7686
1498,188962.7742
1499,183345.67
1500,167629.6793
1501,218537.5454
1502,178579.5886
1503,249984.5749
1504,244686.4361
1505,203658.586
1506,196872.9119
1507,224308.3879
1508,205394.1495
1509,180411.4035
1510,145090.6438
1511,137477.9994
1512,161928.3392
1513,187940.0117
1514,130235.4814
1515,199014.3445
1516,198042.5777
1517,153529.6835
1518,155246.2744
1519,225460.9744
1520,122112.2496
1521,124552.9501
1522,196246.2097
1523,96561.9845
1524,114980.2126
1525,110609.2822
1526,112200.1128
1527,105062.6011
1528,144800.8705
1529,133623.4004
1530,179047.2211
1531,147386.642
1532,83275.6612
1533,141542.829
1534,143829.9997
1535,137699.8804
1536,120481.995
1537,50220.5229
1538,213711.2591
1539,264907.0359
1540,143380.0132
1541,179183.6009
1542,135714.7996
1543,208159.9188
1544,67507.3607
1545,138023.2097
1546,162395.4865
1547,138347.2182
1548,152338.7233
1549,130944.9734
1550,147842.5062
1551,136822.0561
1552,143899.5391
1553,143067.7977
1554,142107.6673
1555,149775.4928
1556,117428.0126
1557,107088.4942
1558,128639.3397
1559,98992.4065
1560,152950.4658
1561,103251.9649
1562,110054.2051
1563,102804.2326
1564,145142.9308
1565,147695.3416
1566,215677.2336
1567,89254.2605
1568,215366.6661
1569,96470.3112
1570,146712.7541
1571,104009.6649
1572,119911.9
1573,215222.5186
1574,142318.7694
1575,209751.1027
1576,233306.754
1577,195557.2942
1578,176826.4039
1579,130277.5792
1580,210784.796
1581,116460.8726
1582,120706.0894
1583,285487.8345
1584,231432.446
1585,148777.4217
1586,39952.0726
1587,110255.2028
1588,120449.7358
1589,108043.2811
1590,140089.9063
1591,59423.4727
1592,126923.4797
1593,144030.1719
1594,132365.9907
1595,118764.508
1596,228681.5545
1597,201043.1524
1598,217922.2628
1599,207278.1765
1600,211983.2719
1601,7568.55049999998
1602,151014.1107
1603,82362.8551
1604,239076.7197
1605,266527.1905
1606,165984.2891
1607,210230.1185
1608,216509.3504
1609,190911.5798
1610,144331.2626
1611,144841.1806
1612,150709.8042
1613,150291.166
1614,101140.1804
1615,61153.1699
1616,61489.9107
1617,81613.4955
1618,104697.1844
1619,123490.8406
1620,191427.835
1621,142879.168
1622,131123.734
1623,241451.8927
1624,194842.4547
1625,140762.9389
1626,193115.0961
1627,180159.2855
1628,287510.8831
1629,204962.4688
1630,272619.7511
1631,225940.6817
1632,238389.0957
1633,193675.9726
1634,178328.4297
1635,173297.1145
1636,160651.6752
1637,178633.7319
1638,240538.3062
1639,188149.7228
1640,262724.0773
1641,191488.8527
1642,219187.409
1643,245774.8991
1644,243158.4957
1645,160729.0935
1646,169122.3589
1647,190582.744
1648,133781.9128
1649,120525.6504
1650,96197.6191
1651,97755.8395
1652,150462.3901
1653,147836.3456
1654,170439.4233
1655,175729.6992
1656,166535.3055
1657,170483.8985
1658,166547.2185
1659,151825.749
1660,145870.4185
1661,363260.3686
1662,330782.4814
1663,322140.318
1664,374505.8055
1665,301241.6116
1666,281237.5957
1667,299916.6253
1668,302610.8094
1669,280256.7932
1670,305620.5025
1671,236319.7936
1672,354256.315
1673,296544.3429
1674,272289.517
1675,177449.7857
1676,173566.9018
1677,203848.8606
1678,384175.0081
1679,300255.3691
1680,287405.5288
1681,273192.2288
1682,272578.5435
1683,199706.9365
1684,198254.5408
1685,171765.1629
1686,182892.427
1687,193859.664
1688,213217.5508
1689,204843.7454
1690,198408.0342
1691,191279.3854
1692,0
1693,194097.924
1694,172467.0235
1695,194918.4712
1696,267316.4478
1697,195296.7408
1698,309272.8617
1699,301663.8039
1700,242517.3706
1701,281235.5461
1702,274336.2651
1703,266822.6889
1704,270749.7359
1705,234007.0779
1706,327569.8702
1707,0
1708,201187.0442
1709,290038.8486
1710,240754.5697
1711,267352.9532
1712,254714.2147
1713,228011.698
1714,206612.9568
1715,211610.041
1716,192607.941
1717,184877.2904
1718,121577.5377
1719,215893.3752
1720,262827.8891
1721,190911.2724
1722,97712.0766
1723,137601.313
1724,224566.6752
1725,237870.6274
1726,185155.7667
1727,168126.6223
1728,203558.85
1729,177158.1258
1730,194617.9533
1731,124435.4042
1732,128452.7616
1733,108601.608
1734,110898.4158
1735,105426.4664
1736,106017.3798
1737,282962.3216
1738,224189.685
1739,279117.2824
1740,194763.2395
1741,176176.4865
1742,191181.9192
1743,205118.279
1744,264474.2741
1745,218478.6346
1746,280827.4573
1747,237669.2248
1748,236692.3395
1749,148037.1242
1750,155358.0345
1751,252012.0369
1752,103208.1058
1753,150678.5462
1754,237009.3352
1755,195172.4634
1756,92389.5267
1757,103878.1596
1758,143508.9871
1759,167670.093
1760,153869.9133
